categoria_principal,shop,amenity,office,tourism,leisure,craft,healthcare,name,addr:street,addr:housenumber,lat,lon,tipo_actividad
shop,bag,,,,,,,Cactus,,,41.3747539,2.1678531,bag
shop,doityourself,,,,,,,Servei Estació,Carrer d'Aragó,272,41.3915276,2.1643195,doityourself
shop,convenience,,,,,,,IKEA Swedish Food Market,,,41.3948927,2.1520612,convenience
shop,copyshop,,,,,,,WorkCenter,Avinguda Diagonal,437,41.3939958,2.1505605,copyshop
shop,supermarket,,,,,,,Open Cor,Carrer del Capità Arenas,25,41.3910021,2.1256514,supermarket
shop,convenience,,,,,,,Supermarket,Rambla de Mercedes,24,41.4123701,2.1546475,convenience
shop,florist,,,,,,,,,,41.3816458,2.1727708,florist
shop,florist,,,,,,,,,,41.3816007,2.1729644,florist
shop,florist,,,,,,,2-Plantas,,,41.3814949,2.1730678,florist
shop,florist,,,,,,,5-M.Escudé,,,41.3817677,2.1726712,florist
shop,florist,,,,,,,La flor de la Rambla,,,41.3821692,2.1724526,florist
shop,florist,,,,,,,La flor de la Rambla,,,41.3822479,2.172391,florist
shop,convenience,,,,,,,Mercat Felip II,,,41.4221944,2.1854353,convenience
shop,supermarket,,,,,,,Condis,,,41.4468135,2.1747937,supermarket
shop,supermarket,,,,,,,Consum,Carrer de Sant Francesc Xavier,8,41.4416041,2.1780626,supermarket
shop,supermarket,,,,,,,Mercadona,,,41.4375701,2.1804956,supermarket
shop,sports,,,,,,,Patinpatl,,,41.3973856,2.1826363,sports
shop,bakery,,,,,,,Forn de Pa Laia,Carrer de Ribes,36,41.3982628,2.18314,bakery
shop,rental,bicycle_rental,,,,,,we bike rent,Carrer de Cervantes,5,41.381257,2.1773769,rental
shop,supermarket,,,,,,,Mercadona,Carrer de Tirso de Molina,20,41.376111,2.1314448,supermarket
shop,butcher,,,,,,,Carniseria Moliner,,,41.3769893,2.1319929,butcher
shop,supermarket,,,,,,,Consum,,,41.3755969,2.1311301,supermarket
shop,supermarket,,,,,,,Dia,Carrer del Roser,18,41.373761,2.1668348,supermarket
